"","player_id","player_name","cluster","player_team","dob","height"
"1",11084,"Robert Murphy",3,"Western Bulldogs",1982-06-09,187
"2",11095,"Drew Petrie",2,"West Coast",1982-10-15,197
"3",11139,"Scott Thompson",5,"Adelaide",1983-03-14,185
"4",11153,"Nick Riewoldt",7,"St Kilda",1982-10-17,193
"5",11170,"Gary Ablett",4,"Gold Coast",1984-05-14,182
"6",11170,"Gary Ablett",4,"Geelong",1984-05-14,182
"7",11192,"Shaun Burgoyne",5,"Hawthorn",1982-10-21,186
"8",11199,"Luke Hodge",3,"Hawthorn",1984-06-15,185
"9",11199,"Luke Hodge",3,"Brisbane Lions",1984-06-15,185
"10",11200,"Sam Mitchell",4,"West Coast",1982-10-12,180
"11",11202,"Leigh Montagna",3,"St Kilda",1983-11-02,178
"12",11207,"Steve Johnson",7,"Greater Western Sydney",1983-07-04,189
"13",11208,"James Kelly",3,"Essendon",1983-12-29,183
"14",11249,"Daniel Wells",7,"Collingwood",1985-02-03,181
"15",11256,"Jarrad Waite",7,"North Melbourne",1983-02-04,194
"16",11260,"Aaron Sandilands",2,"Fremantle",1982-12-06,211
"17",11272,"Brendon Goddard",3,"Essendon",1985-05-20,193
"18",11280,"Matthew Boyd",3,"Western Bulldogs",1982-08-27,184
"19",11285,"Kade Simpson",3,"Carlton",1984-05-05,183
"20",11289,"Jobe Watson",4,"Essendon",1985-02-08,191
"21",11312,"Jarrad McVeigh",3,"Sydney",1985-04-07,184
"22",11317,"Brent Stanton",5,"Essendon",1986-05-01,183
"23",11327,"Andrew Mackie",3,"Geelong",1984-08-07,193
"24",11356,"Sam Butler",1,"West Coast",1986-01-14,187
"25",11371,"Michael Rischitelli",6,"Gold Coast",1986-01-08,185
"26",11383,"Eddie Betts",7,"Carlton",1986-11-26,174
"27",11383,"Eddie Betts",7,"Adelaide",1986-11-26,174
"28",11384,"Angus Monfries",6,"Port Adelaide",1987-01-19,183
"29",11385,"Lance Franklin",7,"Sydney",1987-01-30,199
"30",11388,"Brett Deledio",5,"Greater Western Sydney",1987-04-18,188
"31",11398,"Jordan Lewis",3,"Melbourne",1986-04-24,186
"32",11399,"Jarryd Roughead",7,"Hawthorn",1987-01-23,193
"33",11403,"Ryan Griffen",5,"Greater Western Sydney",1986-07-27,192
"34",11405,"Michael Johnson",1,"Fremantle",1984-10-20,195
"35",11406,"Dale Morris",1,"Western Bulldogs",1982-12-29,190
"36",11408,"Travis Cloke",7,"Western Bulldogs",1987-03-05,196
"37",11409,"David Mundy",4,"Fremantle",1985-07-20,193
"38",11431,"Tom Lonergan",1,"Geelong",1984-05-17,197
"39",11437,"Mark LeCras",7,"West Coast",1986-08-30,184
"40",11454,"Heath Shaw",3,"Greater Western Sydney",1985-11-27,183
"41",11455,"Matt Rosa",5,"Gold Coast",1986-11-23,191
"42",11458,"Danyle Pearce",5,"Fremantle",1986-04-07,178
"43",11463,"Zac Dawson",1,"Fremantle",1986-02-22,197
"44",11468,"Paddy Ryder",2,"St Kilda",1988-03-14,197
"45",11468,"Paddy Ryder",2,"Port Adelaide",1988-03-14,197
"46",11469,"Josh Gibson",1,"Hawthorn",1984-03-13,189
"47",11470,"Grant Birchall",3,"Brisbane Lions",1988-01-28,193
"48",11470,"Grant Birchall",3,"Hawthorn",1988-01-28,193
"49",11472,"Marc Murphy",4,"Carlton",1987-07-19,180
"50",11473,"Dale Thomas",3,"Carlton",1987-06-21,185
"51",11474,"Bernie Vince",3,"Melbourne",1985-10-02,186
"52",11484,"Shannon Hurn",3,"West Coast",1987-09-04,187
"53",11487,"Lynden Dunn",1,"Collingwood",1987-05-14,192
"54",11492,"Josh J. Kennedy",7,"West Coast",1987-08-25,196
"55",11497,"Andrew Swallow",4,"North Melbourne",1987-06-02,182
"56",11501,"Sam Gilbert",1,"St Kilda",1986-08-19,194
"57",11502,"Shaun Higgins",4,"North Melbourne",1988-03-04,184
"58",11505,"Matt Priddis",4,"West Coast",1985-03-21,184
"59",11506,"Scott Pendlebury",4,"Collingwood",1988-01-07,191
"60",11508,"Matt White",5,"Port Adelaide",1987-04-15,180
"61",11521,"Heath Grundy",1,"Sydney",1986-06-02,192
"62",11524,"Nathan Jones",4,"Melbourne",1988-01-20,180
"63",11537,"Richard Douglas",5,"Adelaide",1987-02-06,181
"64",11542,"Lachlan Hansen",1,"North Melbourne",1988-08-17,197
"65",11544,"Lindsay Thomas",5,"North Melbourne",1988-02-29,180
"66",11544,"Lindsay Thomas",5,"Port Adelaide",1988-02-29,180
"67",11549,"Jonathon Griffin",2,"Fremantle",1986-01-14,201
"68",11552,"Joel Selwood",4,"Geelong",1988-05-26,183
"69",11553,"Bryce Gibbs",4,"Adelaide",1989-03-15,188
"70",11553,"Bryce Gibbs",4,"Carlton",1989-03-15,188
"71",11554,"Tom Hawkins",7,"Geelong",1988-07-21,198
"72",11555,"Travis Varcoe",5,"Collingwood",1988-04-10,180
"73",11561,"Shane Edwards",4,"Richmond",1988-10-25,182
"74",11563,"Jarrod Harbrow",3,"Gold Coast",1988-07-18,178
"75",11570,"Kieren Jack",5,"Sydney",1987-06-28,178
"76",11573,"Bachar Houli",3,"Richmond",1988-05-12,180
"77",11576,"David Armitage",5,"St Kilda",1988-06-16,185
"78",11579,"Tyson Goldsack",1,"Collingwood",1987-05-22,193
"79",11582,"Jack Riewoldt",7,"Richmond",1988-10-31,193
"80",11583,"James Frawley",1,"Hawthorn",1988-09-20,193
"81",11585,"Robbie Gray",4,"Port Adelaide",1988-03-30,183
"82",11586,"Justin Westhoff",5,"Port Adelaide",1986-10-01,199
"83",11587,"Garrick Ibbotson",1,"Fremantle",1988-03-15,186
"84",11591,"Travis Boak",4,"Port Adelaide",1988-08-01,183
"85",11596,"Ben Reid",7,"Collingwood",1989-04-29,196
"86",11600,"Matthew Leuenberger",2,"Essendon",1988-06-07,202
"87",11601,"Shaun Grigg",4,"Richmond",1988-04-19,190
"88",11603,"Eric Mackenzie",1,"West Coast",1988-05-19,197
"89",11608,"Josh Hill",6,"West Coast",1989-01-19,186
"90",11610,"Will Schofield",1,"West Coast",1989-01-24,196
"91",11622,"Heath Hocking",6,"Essendon",1987-12-27,186
"92",11633,"Nathan Brown",1,"St Kilda",1988-12-17,196
"93",11634,"Jarryn Geary",3,"St Kilda",1988-06-23,183
"94",11635,"Craig Bird",5,"Essendon",1989-01-21,180
"95",11636,"David Mackay",3,"Adelaide",1988-07-25,181
"96",11637,"Kurt Tippett",2,"Sydney",1987-05-08,202
"97",11638,"Cyril Rioli",5,"Hawthorn",1989-07-14,177
"98",11642,"Scott Thompson",1,"North Melbourne",1986-05-09,193
"99",11643,"Lachie Henderson",1,"Geelong",1989-12-14,196
"100",11644,"Brad Ebert",4,"Port Adelaide",1990-04-02,189
"101",11645,"Chris Masten",3,"West Coast",1989-05-02,180
"102",11646,"Chris Mayne",5,"Collingwood",1988-11-02,188
"103",11647,"Rhys Palmer",6,"Carlton",1989-02-13,181
"104",11649,"Harry Taylor",1,"Geelong",1986-06-12,195
"105",11650,"Scott Selwood",5,"Geelong",1990-03-27,186
"106",11651,"Matthew Kreuzer",2,"Carlton",1989-05-13,200
"107",11657,"Nick Smith",1,"Sydney",1988-06-12,183
"108",11660,"Sharrod Wellingham",3,"West Coast",1988-07-07,185
"109",11661,"Shane Mumford",2,"Greater Western Sydney",1986-07-05,198
"110",11664,"Jesse White",7,"Collingwood",1988-01-09,196
"111",11670,"David Myers",5,"Essendon",1989-06-30,191
"112",11671,"Trent Cotchin",4,"Richmond",1990-04-07,185
"113",11673,"Ryan Davis",1,"Gold Coast",1989-06-07,188
"114",11677,"Josh P. Kennedy",4,"Sydney",1988-06-20,189
"115",11679,"Dennis Armfield",6,"Carlton",1986-12-22,182
"116",11681,"Tom Bellchambers",2,"Essendon",1989-07-09,202
"117",11683,"Callan Ward",4,"Greater Western Sydney",1990-04-10,187
"118",11684,"Andy Otten",1,"Adelaide",1989-05-15,192
"119",11688,"Ben McEvoy",2,"Hawthorn",1989-07-11,200
"120",11690,"Stefan Martin",2,"Brisbane Lions",1986-11-17,199
"121",11692,"Todd Goldstein",2,"North Melbourne",1988-07-01,201
"122",11706,"Patrick Dangerfield",4,"Geelong",1990-04-05,189
"123",11708,"Cale Hooker",1,"Essendon",1988-10-13,198
"124",11710,"Pearce Hanley",3,"Gold Coast",1988-11-15,185
"125",11711,"Sam J. Reid",6,"Greater Western Sydney",1989-11-07,188
"126",11715,"Jeff Garlett",7,"Melbourne",1989-08-03,180
"127",11716,"Sam Jacobs",2,"Adelaide",1988-04-10,200
"128",11716,"Sam Jacobs",2,"Greater Western Sydney",1988-04-10,200
"129",11718,"Mitch Robinson",4,"Brisbane Lions",1989-06-07,184
"130",11719,"Ryan Schoenmakers",7,"Hawthorn",1990-11-08,195
"131",11720,"Matthew Suckling",3,"Western Bulldogs",1988-07-25,187
"132",11721,"Brendan Whitecross",5,"Hawthorn",1990-01-25,183
"133",11724,"Taylor Walker",7,"Adelaide",1990-04-25,193
"134",11725,"Daniel Rich",3,"Brisbane Lions",1990-06-07,183
"135",11727,"Kyle Cheney",1,"Adelaide",1989-08-25,186
"136",11728,"Neville Jetta",1,"Melbourne",1990-02-12,180
"137",11729,"Jake Spencer",2,"Melbourne",1989-10-09,203
"138",11730,"Jack Ziebell",5,"North Melbourne",1991-02-28,188
"139",11731,"Michael Hurley",3,"Essendon",1990-06-01,192
"140",11732,"Stephen Hill",5,"Fremantle",1990-05-01,183
"141",11733,"Nick Suban",5,"Fremantle",1990-05-09,182
"142",11734,"Dayne Beams",4,"Brisbane Lions",1990-02-12,187
"143",11734,"Dayne Beams",4,"Collingwood",1990-02-12,187
"144",11737,"Alex Rance",1,"Richmond",1989-10-09,194
"145",11740,"David Zaharakis",4,"Essendon",1990-02-21,180
"146",11741,"Liam Picken",5,"Western Bulldogs",1986-08-01,184
"147",11746,"Hamish Hartlett",3,"Port Adelaide",1990-08-14,185
"148",11750,"Levi Greenwood",5,"Collingwood",1989-02-19,181
"149",11751,"Jarrad Grant",6,"Gold Coast",1989-07-06,193
"150",11753,"Matt de Boer",5,"Greater Western Sydney",1990-03-10,189
"151",11759,"Steele Sidebottom",4,"Collingwood",1991-01-02,184
"152",11761,"Sam Wright",3,"North Melbourne",1990-07-15,188
"153",11766,"Liam Shiels",4,"Hawthorn",1991-04-29,183
"154",11770,"Michael Walters",4,"Fremantle",1991-01-07,178
"155",11771,"Jack Watts",5,"Melbourne",1991-03-26,196
"156",11771,"Jack Watts",5,"Port Adelaide",1991-03-26,196
"157",11772,"Ty Vickery",6,"Hawthorn",1990-05-31,200
"158",11773,"Nic Naitanui",2,"West Coast",1990-05-04,201
"159",11776,"Hayden Ballantyne",6,"Fremantle",1987-07-16,173
"160",11777,"Zac Clarke",2,"Essendon",1990-03-28,203
"161",11781,"Shaun McKernan",7,"Essendon",1990-09-01,196
"162",11782,"Jack Redden",4,"West Coast",1990-12-09,190
"163",11784,"Jeremy Laidler",1,"Sydney",1989-08-05,190
"164",11787,"Dan Hannebery",4,"St Kilda",1991-02-24,181
"165",11787,"Dan Hannebery",4,"Sydney",1991-02-24,181
"166",11788,"Matthew Broadbent",3,"Port Adelaide",1990-08-01,189
"167",11792,"Tom Rockliff",4,"Port Adelaide",1990-02-22,185
"168",11792,"Tom Rockliff",4,"Brisbane Lions",1990-02-22,185
"169",11794,"Easton Wood",1,"Western Bulldogs",1989-09-04,187
"170",11795,"Jack Steven",4,"St Kilda",1990-03-28,180
"171",11795,"Jack Steven",4,"Geelong",1990-03-28,180
"172",11798,"Shane Savage",3,"St Kilda",1991-01-05,187
"173",11799,"Rory Sloane",4,"Adelaide",1990-03-17,182
"174",11801,"Dustin Martin",4,"Richmond",1991-06-26,187
"175",11804,"Mitch Duncan",4,"Geelong",1991-06-10,188
"176",11805,"Ben Howlett",5,"Essendon",1988-10-21,180
"177",11806,"Tom Scully",5,"Hawthorn",1991-05-15,181
"178",11806,"Tom Scully",5,"Greater Western Sydney",1991-05-15,181
"179",11808,"Jack Trengove",1,"Melbourne",1991-09-02,186
"180",11808,"Jack Trengove",1,"Port Adelaide",1991-09-02,186
"181",11811,"Lewis Jetta",3,"West Coast",1989-05-04,182
"182",11813,"Luke Shuey",4,"West Coast",1990-06-02,183
"183",11817,"Jackson Trengove",1,"Port Adelaide",1990-11-02,197
"184",11817,"Jackson Trengove",1,"Western Bulldogs",1990-11-02,197
"185",11818,"Ryan Bastinac",5,"Brisbane Lions",1991-06-22,184
"186",11819,"Michael Barlow",4,"Gold Coast",1987-12-18,189
"187",11821,"Alex Silvagni",1,"Carlton",1987-09-29,192
"188",11825,"Steven Motlop",5,"Port Adelaide",1991-03-12,183
"189",11825,"Steven Motlop",5,"Geelong",1991-03-12,183
"190",11827,"Travis Colyer",5,"Fremantle",1991-08-24,175
"191",11827,"Travis Colyer",5,"Essendon",1991-08-24,175
"192",11828,"Jake Melksham",7,"Melbourne",1991-08-29,186
"193",11829,"Ben Stratton",1,"Hawthorn",1989-03-01,189
"194",11831,"Dawson Simpson",2,"Greater Western Sydney",1989-02-17,210
"195",11833,"Phil Davis",1,"Greater Western Sydney",1990-08-30,197
"196",11834,"Simon White",1,"Carlton",1988-06-17,190
"197",11835,"David Astbury",1,"Richmond",1991-02-26,195
"198",11836,"Matt Dea",1,"Essendon",1991-10-13,186
"199",11839,"Jordan Roughead",1,"Collingwood",1990-11-03,200
"200",11839,"Jordan Roughead",1,"Western Bulldogs",1990-11-03,200
"201",11840,"Ricky Henderson",3,"Hawthorn",1988-09-11,188
"202",11842,"Matthew Lobbe",2,"Carlton",1989-02-12,200
"203",11843,"Ben Cunnington",4,"North Melbourne",1991-06-30,185
"204",11844,"Nat Fyfe",4,"Fremantle",1991-09-18,192
"205",11846,"Dylan Roberton",1,"St Kilda",1991-06-21,194
"206",11848,"Brad Sheppard",3,"West Coast",1991-05-23,187
"207",11849,"Gary Rohan",7,"Geelong",1991-06-07,189
"208",11849,"Gary Rohan",7,"Sydney",1991-06-07,189
"209",11854,"Jack Gunston",7,"Hawthorn",1991-10-16,193
"210",11855,"Rhys Stanley",2,"Geelong",1990-12-01,200
"211",11857,"Ben Griffiths",7,"Richmond",1991-09-17,200
"212",11858,"Taylor Hunt",6,"Richmond",1990-11-05,184
"213",11859,"Koby Stevens",5,"St Kilda",1991-06-18,189
"214",11862,"Jarryd Blair",5,"Collingwood",1990-04-14,174
"215",11866,"Robbie Tarrant",1,"North Melbourne",1989-04-25,196
"216",11867,"Ryan Harwood",6,"Brisbane Lions",1991-08-07,184
"217",11868,"Jamie Macmillan",3,"North Melbourne",1991-09-23,188
"218",11872,"Tom Lynch",7,"Adelaide",1990-09-15,193
"219",11874,"Liam Jones",1,"Carlton",1991-02-24,199
"220",11878,"Jake Carlisle",1,"St Kilda",1991-10-01,200
"221",11879,"Stewart Crameri",5,"Western Bulldogs",1988-08-10,190
"222",11879,"Stewart Crameri",5,"Geelong",1988-08-10,190
"223",11882,"Daniel Menzel",7,"Geelong",1991-09-13,190
"224",11882,"Daniel Menzel",7,"Sydney",1991-09-13,190
"225",11886,"Sam Reid",7,"Sydney",1991-12-27,196
"226",11887,"Dylan Grimes",1,"Richmond",1991-07-16,193
"227",11889,"Ed Curnow",4,"Carlton",1989-11-07,180
"228",11891,"Jake Batchelor",6,"Richmond",1992-02-13,188
"229",11892,"Reece Conca",3,"Fremantle",1992-08-12,181
"230",11892,"Reece Conca",3,"Richmond",1992-08-12,181
"231",11894,"Cameron Guthrie",5,"Geelong",1992-08-19,187
"232",11896,"Cameron OShea",1,"Carlton",1992-03-13,193
"233",11897,"Jasper Pittard",3,"Port Adelaide",1991-04-01,186
"234",11897,"Jasper Pittard",3,"North Melbourne",1991-04-01,186
"235",11898,"Brodie Smith",3,"Adelaide",1992-01-14,189
"236",11899,"Claye Beams",6,"Brisbane Lions",1991-09-01,183
"237",11900,"Rohan Bewick",5,"Brisbane Lions",1989-10-10,185
"238",11901,"Ryan Lester",1,"Brisbane Lions",1992-08-26,192
"239",11903,"Dyson Heppell",4,"Essendon",1992-05-14,189
"240",11904,"Tom Liberatore",5,"Western Bulldogs",1992-05-16,183
"241",11908,"Jack Darling",7,"West Coast",1992-06-13,191
"242",11909,"Andrew Gaff",4,"West Coast",1992-06-16,183
"243",11910,"Shaun Atley",5,"North Melbourne",1992-09-13,189
"244",11911,"Cameron Pedersen",7,"Melbourne",1987-03-17,193
"245",11914,"Harley Bennell",6,"Fremantle",1992-10-02,185
"246",11914,"Harley Bennell",6,"Melbourne",1992-10-02,185
"247",11915,"Charlie Dixon",7,"Port Adelaide",1990-09-23,200
"248",11919,"Brandon Matera",7,"Gold Coast",1992-03-11,175
"249",11919,"Brandon Matera",7,"Fremantle",1992-03-11,175
"250",11920,"Trent McKenzie",1,"Port Adelaide",1992-04-03,191
"251",11920,"Trent McKenzie",1,"Gold Coast",1992-04-03,191
"252",11921,"Dion Prestia",4,"Richmond",1992-10-12,175
"253",11922,"Zac Smith",2,"Geelong",1990-02-22,206
"254",11923,"David Swallow",4,"Gold Coast",1992-11-19,185
"255",11927,"Allen Christensen",5,"Brisbane Lions",1991-05-19,176
"256",11931,"Maverick Weller",5,"St Kilda",1992-02-13,182
"257",11931,"Maverick Weller",5,"Richmond",1992-02-13,182
"258",11932,"Alex Johnson",1,"Sydney",1992-03-02,194
"259",11933,"Jared Polec",4,"North Melbourne",1992-10-12,187
"260",11933,"Jared Polec",4,"Port Adelaide",1992-10-12,187
"261",11936,"Matthew Wright",7,"Carlton",1989-12-14,178
"262",11938,"Matt Shaw",6,"Gold Coast",1992-02-05,188
"263",11938,"Matt Shaw",6,"Carlton",1992-02-05,188
"264",11940,"Mitch Wallis",5,"Western Bulldogs",1992-10-24,186
"265",11942,"Jamie Cripps",5,"West Coast",1992-04-23,183
"266",11944,"Michael Hibberd",3,"Melbourne",1990-01-03,186
"267",11945,"Steven May",1,"Melbourne",1992-01-10,193
"268",11945,"Steven May",1,"Gold Coast",1992-01-10,193
"269",11947,"Paul Puopolo",5,"Hawthorn",1987-12-02,173
"270",11948,"Isaac Smith",3,"Hawthorn",1988-12-30,188
"271",11952,"Sam Day",7,"Gold Coast",1992-09-06,197
"272",11953,"Tom J. Lynch",7,"Richmond",1992-10-31,199
"273",11953,"Tom J. Lynch",7,"Gold Coast",1992-10-31,199
"274",11958,"Luke Parker",4,"Sydney",1992-10-25,183
"275",11959,"Ben Jacobs",4,"North Melbourne",1992-01-09,185
"276",11960,"Luke Breust",7,"Hawthorn",1990-11-11,184
"277",11961,"Nathan Vardy",2,"West Coast",1991-06-25,200
"278",11964,"Tendai Mzungu",6,"Greater Western Sydney",1986-02-28,183
"279",11965,"Josh Green",7,"Essendon",1992-08-24,178
"280",11969,"Josh Cowan",6,"Geelong",1991-03-16,184
"281",11972,"Max Gawn",2,"Melbourne",1991-12-30,208
"282",11973,"Jeremy Howe",3,"Collingwood",1990-06-29,190
"283",11979,"Zach Tuohy",3,"Geelong",1989-12-10,187
"284",11980,"Luke Dahlhaus",5,"Geelong",1992-08-21,179
"285",11980,"Luke Dahlhaus",5,"Western Bulldogs",1992-08-21,179
"286",11983,"Alex Fasolo",6,"Collingwood",1992-06-08,181
"287",11983,"Alex Fasolo",6,"Carlton",1992-06-08,181
"288",11991,"Mitch Brown",7,"Melbourne",1990-08-28,196
"289",11991,"Mitch Brown",7,"Essendon",1990-08-28,196
"290",11995,"Daniel Talia",1,"Adelaide",1991-10-02,197
"291",11997,"Rory Thompson",1,"Gold Coast",1991-03-12,200
"292",11998,"Lachlan Keeffe",1,"Greater Western Sydney",1990-04-14,204
"293",12000,"Scott Lycett",2,"Port Adelaide",1992-09-26,203
"294",12000,"Scott Lycett",2,"West Coast",1992-09-26,203
"295",12007,"Tom Jonas",1,"Port Adelaide",1991-01-09,188
"296",12009,"Tom Hickey",2,"St Kilda",1991-03-06,201
"297",12009,"Tom Hickey",2,"West Coast",1991-03-06,201
"298",12012,"Aaron Mullett",3,"North Melbourne",1992-02-23,184
"299",12012,"Aaron Mullett",3,"Carlton",1992-02-23,184
"300",12015,"Tom McDonald",7,"Melbourne",1992-09-18,194
"301",12016,"Josh Caddy",5,"Richmond",1992-09-28,186
"302",12019,"Jack Fitzpatrick",2,"Hawthorn",1991-06-26,200
"303",12020,"Aaron Black",5,"Geelong",1990-11-29,192
"304",12021,"Tomas Bugg",7,"Melbourne",1993-04-05,184
"305",12022,"Jeremy Cameron",7,"Greater Western Sydney",1993-04-01,196
"306",12023,"Stephen Coniglio",4,"Greater Western Sydney",1993-12-15,182
"307",12025,"Jonathan Giles",2,"West Coast",1988-01-08,201
"308",12026,"Toby Greene",7,"Greater Western Sydney",1993-09-25,182
"309",12027,"Curtly Hampton",5,"Adelaide",1993-03-10,185
"310",12028,"Jack Hombsch",1,"Gold Coast",1993-03-07,194
"311",12028,"Jack Hombsch",1,"Port Adelaide",1993-03-07,194
"312",12029,"Will Hoskin-Elliott",7,"Collingwood",1993-09-02,186
"313",12030,"Adam Kennedy",3,"Greater Western Sydney",1992-07-12,182
"314",12031,"Tim Mohr",1,"Greater Western Sydney",1988-10-19,196
"315",12032,"Dylan Shiel",4,"Essendon",1993-03-09,182
"316",12032,"Dylan Shiel",4,"Greater Western Sydney",1993-03-09,182
"317",12033,"Devon Smith",4,"Essendon",1993-05-20,174
"318",12033,"Devon Smith",4,"Greater Western Sydney",1993-05-20,174
"319",12034,"Adam Tomlinson",3,"Melbourne",1993-08-10,194
"320",12034,"Adam Tomlinson",3,"Greater Western Sydney",1993-08-10,194
"321",12035,"Jacob Townsend",7,"Richmond",1993-06-20,187
"322",12035,"Jacob Townsend",7,"Essendon",1993-06-20,187
"323",12036,"Dom Tyson",4,"North Melbourne",1993-06-08,186
"324",12036,"Dom Tyson",4,"Melbourne",1993-06-08,186
"325",12037,"Nathan Wilson",3,"Fremantle",1993-01-07,185
"326",12037,"Nathan Wilson",3,"Greater Western Sydney",1993-01-07,185
"327",12038,"Harry Cunningham",3,"Sydney",1993-12-06,181
"328",12039,"Brandon Ellis",3,"Gold Coast",1993-08-03,181
"329",12039,"Brandon Ellis",3,"Richmond",1993-08-03,181
"330",12040,"Steven Morris",6,"Richmond",1988-12-31,185
"331",12043,"Paul Seedsman",3,"Adelaide",1992-01-22,190
"332",12047,"Aaron Hall",3,"North Melbourne",1990-11-09,185
"333",12047,"Aaron Hall",3,"Gold Coast",1990-11-09,185
"334",12048,"Billie Smedts",6,"Carlton",1992-06-08,190
"335",12050,"Tory Dickson",6,"Western Bulldogs",1987-09-26,184
"336",12051,"Clay Smith",6,"Western Bulldogs",1993-05-11,182
"337",12053,"Chad Wingard",4,"Hawthorn",1993-07-29,183
"338",12053,"Chad Wingard",4,"Port Adelaide",1993-07-29,183
"339",12056,"Jack Newnes",5,"Carlton",1993-02-24,186
"340",12056,"Jack Newnes",5,"St Kilda",1993-02-24,186
"341",12057,"Billy Longer",2,"St Kilda",1993-05-12,202
"342",12058,"Adam Treloar",4,"Collingwood",1993-03-09,182
"343",12059,"Sam Kerridge",3,"Carlton",1993-04-26,187
"344",12060,"George Horlin-Smith",5,"Geelong",1992-12-22,188
"345",12060,"George Horlin-Smith",5,"Gold Coast",1992-12-22,188
"346",12061,"Lachie Neale",4,"Brisbane Lions",1993-05-24,177
"347",12061,"Lachie Neale",4,"Fremantle",1993-05-24,177
"348",12065,"Anthony Miles",4,"Richmond",1992-02-28,180
"349",12065,"Anthony Miles",4,"Gold Coast",1992-02-28,180
"350",12066,"Bradley Hill",3,"St Kilda",1993-07-09,179
"351",12066,"Bradley Hill",3,"Fremantle",1993-07-09,179
"352",12067,"Jack Crisp",3,"Collingwood",1993-10-02,190
"353",12070,"Taylor Adams",4,"Collingwood",1993-09-20,181
"354",12071,"Josh Bruce",7,"Western Bulldogs",1992-06-08,197
"355",12071,"Josh Bruce",7,"St Kilda",1992-06-08,197
"356",12073,"Jarryd Lyons",4,"Brisbane Lions",1992-07-22,184
"357",12073,"Jarryd Lyons",4,"Gold Coast",1992-07-22,184
"358",12074,"Aaron Young",5,"Port Adelaide",1992-12-06,189
"359",12074,"Aaron Young",5,"Gold Coast",1992-12-06,189
"360",12075,"Lee Spurr",1,"Fremantle",1987-07-27,182
"361",12078,"Liam Sumner",6,"Carlton",1993-08-16,178
"362",12080,"Josh Jenkins",7,"Geelong",1989-02-08,200
